,YEAR,ROUND,LSEED,LTEAM,LSCORE,SCORE_DIFF,confW,confL,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,ADJ_T,WAB,upset,HSEED,HTEAM,HSCORE
0,2013,1,11,Minnesota,63,-20,B10,P12,1,4,-2.59999999999999,2.3,-0.0575,-0.199999999999996,1.9,-5.8,-0.300000000000001,-12.9,0.799999999999997,-8.5,-12.1,0.100000000000001,4.1,-0.400000000000006,-1.5,5.5,1.2,1.0,6.0,UCLA,63.0
1,2013,1,9,Missouri,72,12,MWC,SEC,-1,1,3.3,3.2,-0.0055999999999999,-2.0,2.5,-1.7,-1.1,2.7,-5.4,9.1,6.7,-3.0,3.0,0.200000000000003,0.899999999999999,-2.90000000000001,0.7,0.0,8.0,Colorado State,84.0
2,2013,1,12,Mississippi,46,-11,SEC,B10,-1,-4,-2.8,-11.3,0.1066,-0.5,-3.4,-0.200000000000001,-3.5,-1.5,-4.9,-9.1,-5.4,-1.4,-3.40000000000001,0.600000000000001,-2.4,-9.00000000000001,3.0,1.0,5.0,Wisconsin,46.0
3,2013,1,13,South Dakota State,56,15,B10,Sum,6,8,11.8,-10.0,0.2949,1.3,-3.2,-1.8,1.6,3.6,3.3,-4.6,-1.7,3.0,-2.2,-1.0,-3.2,0.799999999999997,9.4,0.0,4.0,Michigan,71.0
4,2013,1,11,Bucknell,56,12,A10,Pat,2,-1,4.5,-0.0999999999999943,0.0688000000000001,1.1,4.2,5.1,3.3,6.6,2.0,2.7,6.7,1.90000000000001,4.2,-1.5,2.7,1.3,3.7,0.0,6.0,Butler,68.0
5,2013,1,11,Saint Mary’s,52,2,CUSA,WCC,2,4,-7.80000000000001,-4.7,-0.0238,-1.3,-1.6,2.4,4.2,-1.3,6.1,0.200000000000003,-2.0,-1.2,-0.200000000000003,-0.0999999999999943,-3.7,4.5,2.0,0.0,6.0,Memphis,54.0
6,2013,1,10,Iowa State,58,-18,B12,BE,0,2,-4.3,-2.89999999999999,-0.008,-1.59999999999999,-1.2,-0.899999999999999,-2.6,-0.200000000000003,1.0,-1.0,-8.1,-1.3,-2.9,-0.399999999999999,1.4,-7.89999999999999,3.2,1.0,7.0,Notre Dame,58.0
7,2013,1,9,Villanova,71,7,ACC,BE,2,5,6.3,2.5,0.0395,2.0,0.700000000000003,-5.7,-0.5,1.5,2.1,-22.4,-13.8,0.299999999999997,3.9,4.0,-2.9,3.7,2.2,0.0,8.0,North Carolina,78.0
8,2013,1,14,Valparaiso,54,11,B10,Horz,2,1,3.60000000000001,-10.1,0.1878,-5.1,-1.7,-1.0,-0.300000000000001,4.9,-0.599999999999998,-5.1,-4.4,-5.3,-0.200000000000003,-3.0,-3.7,-1.19999999999999,7.5,0.0,3.0,Michigan State,65.0
9,2013,1,16,James Madison,62,21,B10,CAA,0,8,22.5,-9.7,0.4956,7.1,-4.7,2.1,-0.200000000000003,9.4,0.299999999999997,9.0,-12.2,5.8,-3.7,6.7,-4.3,3.59999999999999,16.7,0.0,1.0,Indiana,83.0
10,2013,1,14,Harvard,62,-6,Ivy,MWC,6,10,2.09999999999999,-8.80000000000001,0.2279,-5.9,-3.3,-3.2,-1.4,3.7,-3.8,-3.9,-5.5,-5.4,-6.9,-4.7,1.3,0.700000000000003,9.5,1.0,3.0,New Mexico,62.0
11,2013,1,14,Northwestern State,47,32,SEC,Slnd,9,10,10.9,-16.4,0.3964,6.2,-4.5,-1.4,0.800000000000001,-0.599999999999994,-8.9,-9.3,-10.6,4.3,-5.0,6.8,-2.9,-10.2,7.3,0.0,3.0,Florida,79.0
12,2013,1,10,Oklahoma,55,15,MWC,B12,0,1,-4.3,-6.09999999999999,0.0361,0.700000000000003,-2.7,0.600000000000001,-1.4,-1.4,-3.6,-0.100000000000001,-2.5,0.699999999999996,-3.1,0.400000000000006,-1.1,0.0999999999999943,0.1,0.0,7.0,San Diego State,70.0
13,2013,1,15,Iona,70,25,B10,MAAC,3,9,0.799999999999997,-15.6,0.245,-1.5,-6.2,-0.900000000000002,1.4,-0.999999999999996,-5.2,2.8,-2.7,-1.0,-5.5,-1.1,-5.1,-6.0,13.1,0.0,2.0,Ohio State,95.0
