"","YEAR","ROUND","HSEED","HTEAM","LSEED","LTEAM","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB"
"23",2023,1,1,"Houston",6,"Kentucky",2,10,1.40000000000001,-9.3,0.0916,1.5,-6.3,-2,5.2,-1.6,1.9,-4,5.9,2.8,-5.2,-0.899999999999999,-5.3,-2.7,6.4
"24",2023,1,1,"Houston",7,"Texas A&M",0,6,3.10000000000001,-5.19999999999999,0.0587,3.7,-5.4,-3,0.899999999999999,0.399999999999999,-3,-17.4,0.699999999999996,4.2,-4.3,1.7,-4.5,-2.90000000000001,4.3
"25",2023,1,1,"Houston",7,"Michigan State",3,12,5.2,-6.59999999999999,0.0985,1.1,-5.6,-1.1,7.3,9.7,2.2,2.7,7.2,5.5,-5.5,-5,-3.7,-1.60000000000001,6
"26",2023,1,1,"Houston",7,"Northwestern",2,10,9.60000000000001,-3.59999999999999,0.1105,5.5,-5.9,0.5,0.300000000000001,8.8,0.0999999999999979,-1.2,4.2,6.7,-3.5,2.4,-6.1,-1.7,6.9
"27",2023,1,1,"Houston",7,"Missouri",1,7,-0.299999999999997,-14.7,0.1516,-2.4,-9.8,-0.699999999999999,-2.3,10.3,-9.9,-1,0.599999999999994,-2.7,-8.6,-1.6,-7.6,-6,4.4
"28",2023,1,1,"Houston",8,"Memphis",0,5,2.60000000000001,-5.39999999999999,0.0569,-0.5,-4.3,-3.1,1.1,6.1,-4.9,-7.4,0.899999999999999,0.100000000000001,-4.1,-1.1,-3,-8.2,3.3
"29",2023,1,1,"Houston",8,"Arkansas",1,11,5.8,-3.39999999999999,0.0637,0.700000000000003,-4,-3,1.6,6.6,-0.800000000000001,-10.3,-3.1,-0.599999999999994,-3.8,2.8,-2.8,-6.3,7.5
"30",2023,1,1,"Houston",8,"Maryland",1,10,5,-6.59999999999999,0.0959,1.6,-5.4,-0.899999999999999,3.6,6.9,0.199999999999999,-5.3,8,1.2,-4.6,1.5,-4.3,-1.40000000000001,7.6
"31",2023,1,1,"Houston",8,"Iowa",2,12,-2.39999999999999,-14.8,0.1221,0.800000000000004,-10.8,1.2,3.5,4.9,-0.200000000000003,-4.1,12.4,1.1,-9.5,0.200000000000003,-8.8,-6.3,8.2
"32",2023,1,1,"Houston",9,"West Virginia",1,12,0.799999999999997,-7.69999999999999,0.0649,1,-8.2,-3.2,1.1,3.4,-1.9,-11.2,-2.7,1.90000000000001,-7.4,-0.299999999999997,-6.3,-5.40000000000001,6.6
"33",2023,1,1,"Houston",9,"Auburn",2,11,5.10000000000001,-4.89999999999999,0.0749,3.1,-3.1,-2.8,2.7,3.8,-4.6,-7,-3.3,2.2,-3.8,3.1,-1,-4.40000000000001,6.9
"34",2023,1,1,"Houston",9,"Florida Atlantic",0,0,5.40000000000001,-6.5,0.1004,-2.3,-3.4,-1.4,3.7,6.7,2.9,-1,9.1,-1.09999999999999,-1.7,-2.7,-4.2,-4.90000000000001,4.1
"35",2023,1,1,"Houston",9,"Illinois",2,11,8.10000000000001,-6.3,0.1344,1.1,-4.4,-2.9,3.4,4.8,0.599999999999998,-5.3,6.2,-2.09999999999999,-2.2,3.6,-5.8,-6.40000000000001,7.7
"36",2023,1,1,"Houston",10,"Utah State",0,5,1,-8.59999999999999,0.0779,-2.9,-5.3,-2.1,6.2,9.7,2.6,-7,5.6,-0.899999999999999,-2.8,-4,-6.5,-5.5,4.5
"37",2023,1,1,"Houston",10,"Boise State",1,7,7.8,-4.39999999999999,0.0993,0.800000000000004,-4.8,-1.4,4.3,10.7,3.6,-2.2,8.4,2.5,-4.7,-1.5,-3.2,-3.2,5.5
"38",2023,1,1,"Houston",10,"USC",2,9,5.60000000000001,-8.09999999999999,0.1275,1.40000000000001,-2.7,-2.8,3.9,8.1,-5.6,-5.3,6,2.1,0.700000000000003,0,-5.6,-4.90000000000001,6.3
"39",2023,1,1,"Houston",10,"Penn State",-1,9,1.3,-12,0.1289,-2.8,-6.7,1.6,8.9,18.3,2.3,7.1,9.9,-0.299999999999997,-5.7,-4,-5.5,-1.3,7
"40",2023,1,1,"Houston",11,"North Carolina State",1,8,4.10000000000001,-10.2,0.14,0.900000000000006,-7.3,1.7,2.9,6.4,0.799999999999997,3.2,1.8,1.7,-7.5,-0.399999999999999,-4.4,-6.10000000000001,7.5
"41",2023,1,1,"Houston",11,"Mississippi State",1,10,14.1,-2.09999999999999,0.1536,5.8,-3.7,-4,0,1.9,-1.6,-6.1,8.2,2.7,-3.1,7.9,-3,-0.400000000000006,7.6
"42",2023,1,1,"Houston",11,"Providence",2,10,2.5,-12.4,0.1545,1.2,-7.5,-1.6,5.1,1.9,0.699999999999999,-8.3,10.3,2.3,-6.5,-0.600000000000001,-6.1,-3.7,7.4
"43",2023,1,1,"Houston",11,"Nevada",2,9,8,-7.59999999999999,0.1557,2.2,-6.5,0.100000000000001,3.3,14.2,2.3,-11,4.4,2.90000000000001,-6.2,0.700000000000003,-4.7,-2.7,7
"44",2023,1,1,"Houston",11,"Arizona State",0,9,11.7,-5.19999999999999,0.1738,5.2,-3.9,-1.6,1.4,7.5,-4.4,-2.3,2.4,5.3,-0.699999999999996,3.1,-5.8,-5.10000000000001,7.1
"45",2023,1,1,"Houston",11,"Pittsburgh",1,9,4.3,-14.1,0.2177,-0.5,-6.7,-1.1,5.3,6.7,-0.800000000000001,-3.9,5.2,0.5,-5.5,-1.5,-5.6,-4,8.9
