YEAR,SEED,TEAM,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,3PR,3PRD,ADJ_T,WAB
2024,3,Baylor,32,23,122.2,99.9,0.9103,55.6,51.3,17.7,17.1,35.1,27.1,40.5,30.9,53.4,51.9,39.4,33.5,38.3,35.5,65.7,5.1
2024,3,Kentucky,32,23,123,102.2,0.8934,57.4,49.5,14.2,16,28.9,30.2,30.4,33.4,54.7,49.8,41.2,32.6,37.3,39.9,72.5,2.9
2024,4,Auburn,34,27,120.7,92.1,0.9573,54.1,43.4,14.9,18.2,32.9,30.3,38.2,41,54.9,42.8,35.2,29.8,37.5,33.3,69.8,5.5
2024,4,Duke,32,24,120.8,96.8,0.9272,55.2,49,14.3,16.9,31.8,25.9,33.8,27.6,54.4,49.1,37.7,32.6,37.4,35.5,66.9,3.3
2024,4,Alabama,32,21,125.2,102.1,0.9126,56.3,49.9,16,15.6,34.9,29.9,35.2,39.6,57.6,51.1,36.5,31.9,46.8,36.7,72.5,3.4
2024,4,Kansas,31,22,113.5,92.7,0.9111,53.4,47.6,16.4,16.8,25.3,26.4,32.8,28.5,54.8,45.3,33.3,33.8,29.7,41.1,68.9,4.3
2024,5,Saint Mary's,32,26,115.8,93.7,0.9198,53.1,45.1,16,16.7,39,22.4,28.3,32.2,53,43.6,35.5,32.4,36.7,29,62.1,1.4
2024,5,Gonzaga,31,25,121.3,98.6,0.9151,56.7,47.3,14,16.5,33.3,27.2,31.5,25.8,58.3,45.1,35.5,34,31.4,36.9,69.1,2.5
2024,5,Wisconsin,35,22,119.8,98.8,0.9018,52.4,52.2,14.6,16.9,30.5,24.5,33.5,33.2,52.6,50.4,34.8,37.1,35.4,34.4,65,3.3
2024,5,San Diego State,32,24,111.5,93.9,0.8789,49.8,47.2,16,18,32.7,28,37.5,33.3,51.6,48.3,31.3,30.5,37.8,40.5,66.1,2.6
2024,6,BYU,33,23,120.6,99,0.9067,55.1,48,15.2,16,32.8,24.7,25.3,32.1,58,48.2,34.8,31.8,50.7,34.1,69,2.9
2024,6,Texas Tech,33,23,117.5,98.4,0.8846,52.8,49.1,16.5,17,30.2,30.3,34.6,26.6,51.5,49.6,36.5,32.1,41.1,39,66.4,3.4
2024,6,Clemson,32,21,116.7,99.3,0.8647,53.9,48.7,14.9,13.6,27.7,25.2,30.6,31.2,54.4,47.1,35.4,34,40.2,40.6,66.2,0.9
2024,6,South Carolina,33,26,114.4,98.9,0.842,50.8,48,15.5,14.9,33.1,28,31.8,30.8,51.1,46.8,33.5,33.6,41,31.2,63,4.7
2024,7,Texas,32,20,119,98.3,0.9006,53.7,49,16.6,18.6,30.5,30,30.4,35,53.4,47.4,36.1,34.8,34.9,32.4,67.2,1.2
2024,7,Florida,35,24,119.7,99.3,0.8951,51.5,48.8,15.8,14.5,37.5,28.9,38.6,34.2,51.7,49,34.2,32.2,34.5,32.7,71.6,3
2024,7,Washington State,33,24,112.8,96.6,0.8556,52.1,47.3,16.1,15.9,32.9,24.9,31.7,32.7,52.6,46.9,34,32,32,31.5,64.9,1.9
2024,7,Dayton,31,24,117.4,100.7,0.8547,56.6,47.9,15.8,15.7,26.9,29,37.2,21.8,53.7,48.2,40.2,31.7,44.5,40.4,64,2.6
2024,8,Nebraska,33,23,115.7,95.6,0.8999,53.2,46.3,15.9,16.4,27.8,30,32.4,27.7,52.8,45.2,35.8,31.9,44.5,41.7,68.7,2.4
2024,8,Mississippi State,34,21,112.6,94.9,0.8772,51.7,47.7,18.7,18.2,35.4,27.6,37.9,32.4,53.4,50.2,32.5,29.4,38.2,41.1,67.2,0.8
2024,8,Florida Atlantic,33,25,117.3,103,0.817,55,49.7,15.8,16.5,33.8,29.2,34.8,27.5,56,49.3,35.6,33.6,38.8,36.3,67.9,1.2
2024,8,Utah State,31,27,114.1,100.4,0.8144,54.1,49.6,15.7,16.4,28.5,25.4,40,30.4,57.1,53.1,32.1,29,33.4,36.7,68.5,3.3
2024,9,Michigan State,33,19,112.7,93.3,0.8983,51.5,48,14.7,18.7,29.9,28.7,29.9,32.6,50.5,47.1,35.9,32.8,30.2,41.3,65.3,0.21
2024,9,Northwestern,32,21,117.2,99.2,0.8717,53.2,51.6,13.3,18.8,25.7,28.2,29.9,39.4,49.7,50.3,39.4,35.9,36.8,36.9,63.7,1.5
2024,9,TCU,33,21,114.5,97.1,0.869,51.9,50.3,17.9,20.8,35.5,28.6,35.1,35.7,51.2,50.9,35.6,32.8,30.2,35.2,69.9,1.3
2024,9,Texas A&M,34,20,115,98.9,0.8499,45.4,50.1,14.2,16.9,41.9,28,38.2,31.2,47,49.5,28.4,33.9,38.1,44.9,65.6,0.25
