"","YEAR","ROUND","WSEED","WTEAM","WSCORE","LSEED","LTEAM","LSCORE","SCORE_DIFF","confW","confL","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB"
"24",2013,1,3,"Marquette",59,14,"Davidson",58,1,"BE","SC",2,1,2.40000000000001,-5.09999999999999,0.1061,-3.5,0.900000000000006,3.9,0.699999999999999,9.4,4.6,2,-4.7,-0.399999999999999,0.600000000000001,-7,0.199999999999996,-0.600000000000009,5.9
"25",2013,1,13,"La Salle",63,4,"Kansas State",61,-2,"A10","B12",0,2,1.40000000000001,-1.7,0.0379999999999999,-2.8,-1.8,1.1,0.899999999999999,9.5,-0.400000000000006,0.399999999999999,8.3,-2.5,-4.1,-1.90000000000001,3.1,-3,5.1
"26",2013,1,4,"Syracuse",81,13,"Montana",34,47,"BE","BSky",10,7,11.4,-14.8,0.4604,-3.9,-6,-0.200000000000003,5.3,13.7,4,-3.8,-0.5,-3.5,-5.4,-3,-4.9,1.50000000000001,6.5
"27",2013,1,1,"Louisville",79,16,"North Carolina A&T",48,31,"BE","MEAC",4,16,25.3,-11.2,0.6284,4.9,-0.400000000000006,-4.4,3.6,8.4,0.0999999999999943,-2.6,-6.2,5.4,0,2.6,-0.199999999999999,0.199999999999989,20.5
"28",2013,1,7,"Illinois",57,10,"Colorado",49,8,"B10","P12",1,0,4.89999999999999,2.5,0.0236000000000001,-0.799999999999997,2.8,-2.4,2.3,0,2.6,-9.9,10.7,0.399999999999999,2.7,-2.7,2.1,0.599999999999994,1
"29",2013,1,15,"Florida Gulf Coast",78,2,"Georgetown",68,-10,"ASun","BE",-3,1,4.19999999999999,-11.3,0.2429,-0.5,-3.9,-0.899999999999999,0.299999999999997,-2.1,-1.8,1.59999999999999,2.59999999999999,-2.09999999999999,-5.5,1.9,-0.600000000000001,-6.59999999999999,10.6
"30",2013,1,12,"Oregon",68,5,"Oklahoma State",55,-13,"P12","B12",-4,-4,2.3,0,0.0255,-0.5,-1.9,-3.2,-0.300000000000001,-4.5,3.6,2.1,1.8,0.399999999999999,-2.5,-1.7,-1,-1.90000000000001,0.3
"31",2013,1,4,"Saint Louis",64,13,"New Mexico State",44,20,"A10","WAC",1,5,5.5,-7.8,0.2189,1.1,0.100000000000001,-4.3,5,-9,-0.699999999999999,-3,4.3,0.200000000000003,0.899999999999999,2.2,-0.799999999999997,-0.399999999999991,6.9
"32",2013,1,12,"UC Berkeley",64,5,"UNLV",61,-3,"P12","MWC",1,3,-0.700000000000003,-3.89999999999999,0.0538,0.899999999999999,-0.199999999999996,1.3,1.7,0.799999999999997,-3.6,5.5,-2.9,0.100000000000001,0.899999999999999,2.4,-2,2.8,1.3
"33",2013,2,4,"Syracuse",66,12,"UC Berkeley",60,6,"BE","P12",7,9,7.59999999999999,-5.3,0.1322,1,-1.7,0,6.8,6.3,3.8,5.6,2.9,-0.299999999999997,0.899999999999999,3.2,-5.2,-1.09999999999999,4.6
