YEAR,SEED,TEAM,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,ADJ_T,WAB
2023,9,Florida Atlantic,34,31,112.8,96.4,0.8583,55,45.9,16.7,18.3,30.4,24.5,29.5,26.7,54.3,44.8,37.2,32,68.2,4.3
2023,4,Virginia,32,25,110.5,94.6,0.8564,51.3,48.3,13.7,19.7,25.5,25,34.5,26.1,50.4,46.5,35.3,34,61.4,4
2023,4,Indiana,33,22,113.6,97.4,0.8543,53.8,47.3,16.9,16.3,28,27.9,30.1,30.6,53.2,45.7,37,33.2,68.1,3.3
2023,7,Northwestern,32,21,108.6,93.5,0.8482,47.2,48.4,14.8,21.7,28.3,27.3,29.7,31.6,46.5,46.6,32.1,33.9,65,1.5
2023,8,Iowa,32,19,120.6,104.7,0.8366,51.9,53.3,14.1,18.5,32.2,27.6,32.6,23.4,52.1,52.6,34.3,36.6,69.6,0.2
2023,5,Miami FL,32,25,118.4,102.7,0.8365,55,51.3,16.4,18.1,32,29,30,24.1,54.9,51.8,36.8,33.6,68.8,3.5
2023,10,USC,32,22,112.6,98,0.8312,51.3,45.2,18.1,18.1,29,33,33.8,29.8,51.1,42.4,34.5,33.4,68.2,2.1
2023,10,Penn State,35,22,116.9,101.9,0.8298,55.5,49.2,13.7,13.1,18.8,25.1,21.4,25.9,53.5,48.8,38.5,33.3,64.6,1.4
2023,9,Illinois,32,20,110.1,96.2,0.8243,51.6,46.9,18.2,18.6,32.3,26.8,33.8,29.6,55.3,45.3,30.9,33.6,69.7,0.7
2023,12,Drake,34,27,110.7,96.7,0.8243,53.1,47.3,15.5,17.7,24.3,22.4,28.8,26.7,51.9,47.5,36.7,31.2,66.4,-0.2
2023,11,North Carolina State,33,23,114.1,100.1,0.8187,51.8,49.8,13.6,19.1,30.7,26.6,25.3,34,51.5,50.6,34.9,32.2,69.4,0.9
2023,7,Missouri,33,24,118.5,104.6,0.8071,55.1,52.3,16,24.3,26.8,37.3,29.5,35.2,55.9,51.7,36.1,35.4,69.3,4
2023,11,Mississippi State,33,21,104.1,92,0.8051,46.9,46.2,19.3,22,35.2,29,34.6,27.6,50.5,46.2,26.6,30.8,63.7,0.8
2023,11,Providence,32,21,115.7,102.3,0.8042,51.5,50,16.9,16.9,35.2,26.7,36.8,25.5,50.9,49.6,35.1,33.9,67,1
2023,11,Nevada,32,22,110.2,97.5,0.803,50.5,49,15.2,18.7,22.9,25.1,39.5,31.4,50.3,49.3,33.8,32.5,66,1.4
2023,12,VCU,34,27,106.1,94,0.802,52.2,47,19.5,24.1,29,29.8,41.8,30.5,52.3,46.2,34.7,32.3,68.1,1.1
2023,11,Arizona State,34,22,106.5,95.1,0.7849,47.5,46.4,16.9,20.6,29.6,31.8,30.8,33.4,47.9,43.8,31.4,33.6,68.4,1.3
2023,12,Oral Roberts,34,30,113.5,101.5,0.7833,56.1,48.5,13.2,17.6,24.5,27.4,24.6,22,56.6,46.6,37,34.2,70.5,2
2023,13,Iona,34,27,110,98.5,0.7814,51.8,45.9,15.3,20.9,32,30.5,29,31.2,50.8,47,36,29.2,68.7,-1.5
2023,12,College of Charleston,34,31,110.3,98.8,0.7801,51.5,47.9,16.7,19.3,35.1,25.5,32.7,24.7,52.9,49.1,33.3,30.3,71.2,1.8
2023,13,Kent State,34,28,107.7,97.2,0.765,51.3,47.2,16.3,22.6,30.9,30.2,32,38.8,52.2,47.8,33.2,30.9,68.1,1.1
2023,11,Pittsburgh,33,22,113.9,104,0.741,53.2,49.2,16.4,16.7,30.4,28.2,32.4,30.6,52.7,48.6,36,33.4,67.3,-0.5
2023,13,Louisiana Lafayette,33,26,112.4,102.8,0.736,53,50.6,17.5,18.1,33.8,26.4,37.7,33.8,52.2,49.2,36.6,35.9,68.5,-0.3
2023,13,Furman,34,27,113.8,105,0.7173,55.6,50.6,15.8,18.4,29.6,27.1,34.7,31.8,59.1,51.2,34.4,33.1,68.5,-1.9
2023,15,Vermont,33,23,110.4,102.8,0.6939,54.9,50.7,14.2,16.8,19.3,22.5,28.4,26.9,55.5,50,36.2,34.6,64.7,-3.7
2023,14,Montana State,34,25,105.6,98.4,0.6922,50.9,49.4,17.6,20.1,25.7,25.5,44.4,35.5,52.4,48,32,34.8,66.4,-2.6
2023,15,Colgate,34,26,112.5,106.2,0.6608,58.6,51.9,14.9,17.6,24.9,24.1,27.6,20.3,57.1,51.5,40.9,34.9,67.8,-3.5
2023,15,Princeton,29,21,108.8,103,0.6529,52.5,48,16.9,14.5,28.4,22.8,32.2,29.3,53.5,47.2,34,33.1,67.5,-3.1
2023,14,Kennesaw State,34,26,106.4,101.4,0.6342,52.9,51.2,17.9,19.6,27.5,25.8,36.5,36.2,51.3,50.5,37.1,34.8,68.6,-1.2
2023,14,Grand Canyon,35,24,112,106.9,0.6309,52.9,47.2,18.4,15,30.5,30.3,37.8,33.2,50.5,46.8,37.6,32,65,-3.5
2023,14,UC Santa Barbara,34,27,111,106.1,0.6258,54.2,49.8,16.8,18.7,26.6,26.1,34.9,29.2,54.8,48.9,35.1,34.5,64.7,-1.1
2023,16,Northern Kentucky,34,22,103.1,102.3,0.522,49.8,51.3,17.5,23.2,31.3,32.8,27.4,30.8,47.7,48.9,35.2,36.7,61.9,-6.5
2023,15,UNC Asheville,34,27,102.6,103.1,0.4879,53.9,48,20,17.9,25.8,28.7,41.3,26.8,51.4,49.1,38.8,30.5,68.4,-1.7
2023,16,Texas A&M Corpus Chris,33,23,106.1,107.4,0.4629,51.2,52.4,18,20.9,32.5,27.9,34.4,38.6,49,54.1,36.9,33.3,69.2,-5.9
2023,16,Howard,34,22,103.2,106.6,0.4085,52,50.6,22.8,20.7,33.8,31.6,32.8,34.6,49.9,50.8,37.2,33.6,69,-7.2
2023,16,Southeast Missouri State,35,19,100.3,108.3,0.2928,50,51.6,17.3,19,25.3,27.9,38.3,43.6,50,50.8,33.3,35.3,72.2,-11.4
2023,16,Texas Southern,34,14,96.4,105.3,0.2663,46.2,49.3,20.3,18.5,29.3,27.7,34.9,38.1,47.4,48.7,28.7,33.6,69.4,-13.3
2023,16,Fairleigh Dickinson,34,19,105.9,118.6,0.2143,51.5,55.8,16.3,21.4,31.4,28.9,27.9,34.8,51.4,56.1,34.4,36.9,68.8,-12.2
