,Unnamed: 0,YEAR,ROUND,LSEED,LTEAM,LSCORE,SCORE_DIFF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,ADJ_T,WAB,HSEED,HTEAM,HSCORE
24,25,2013,1,13,La Salle,63,-2,0,-2,-1.40000000000001,1.7,-0.0379999999999999,2.8,1.8,-1.1,-0.899999999999999,-9.5,0.400000000000006,-0.399999999999999,-8.3,2.5,4.1,1.90000000000001,-3.1,3.0,-5.1,4,Kansas State,63
25,26,2013,1,13,Montana,34,47,10,7,11.4,-14.8,0.4604,-3.9,-6.0,-0.200000000000003,5.3,13.7,4.0,-3.8,-0.5,-3.5,-5.4,-3.0,-4.9,1.50000000000001,6.5,4,Syracuse,34
26,27,2013,1,16,North Carolina A&T,48,31,4,16,25.3,-11.2,0.6284,4.9,-0.400000000000006,-4.4,3.6,8.4,0.0999999999999943,-2.6,-6.2,5.4,0.0,2.6,-0.199999999999999,0.199999999999989,20.5,1,Louisville,48
27,28,2013,1,10,Colorado,49,8,1,0,4.89999999999999,2.5,0.0236000000000001,-0.799999999999997,2.8,-2.4,2.3,0.0,2.6,-9.9,10.7,0.399999999999999,2.7,-2.7,2.1,0.599999999999994,1.0,7,Illinois,49
28,29,2013,1,15,Florida Gulf Coast,78,-10,3,-1,-4.19999999999999,11.3,-0.2429,0.5,3.9,0.899999999999999,-0.299999999999997,2.1,1.8,-1.59999999999999,-2.59999999999999,2.09999999999999,5.5,-1.9,0.600000000000001,6.59999999999999,-10.6,2,Georgetown,78
29,30,2013,1,12,Oregon,68,-13,4,4,-2.3,-0.0,-0.0255,0.5,1.9,3.2,0.300000000000001,4.5,-3.6,-2.1,-1.8,-0.399999999999999,2.5,1.7,1.0,1.90000000000001,-0.3,5,Oklahoma State,68
30,31,2013,1,13,New Mexico State,44,20,1,5,5.5,-7.8,0.2189,1.1,0.100000000000001,-4.3,5.0,-9.0,-0.699999999999999,-3.0,4.3,0.200000000000003,0.899999999999999,2.2,-0.799999999999997,-0.399999999999991,6.9,4,Saint Louis,44
31,32,2013,1,12,UC Berkeley,64,-3,-1,-3,0.700000000000003,3.89999999999999,-0.0538,-0.899999999999999,0.199999999999996,-1.3,-1.7,-0.799999999999997,3.6,-5.5,2.9,-0.100000000000001,-0.899999999999999,-2.4,2.0,-2.8,-1.3,5,UNLV,64
32,33,2013,2,12,UC Berkeley,60,6,7,9,7.59999999999999,-5.3,0.1322,1.0,-1.7,0.0,6.8,6.3,3.8,5.6,2.9,-0.299999999999997,0.899999999999999,3.2,-5.2,-1.09999999999999,4.6,4,Syracuse,60
33,34,2013,2,6,Butler,72,2,0,0,3.8,0.200000000000003,0.0396,-1.1,-0.5,0.699999999999999,2.1,2.5,6.8,2.5,-4.4,1.4,-0.399999999999999,-4.7,-0.900000000000006,-0.100000000000009,-0.2,3,Marquette,72
34,35,2013,2,6,Memphis,48,22,-1,-5,5.30000000000001,-2.40000000000001,0.0720000000000001,-1.8,-1.0,0.100000000000001,-2.9,0.5,-3.5,-0.600000000000001,-2.5,-0.700000000000003,0.5,-3.1,-2.9,-4.89999999999999,2.2,3,Michigan State,48
35,36,2013,2,9,Temple,52,6,2,5,10.3,-7.2,0.1472,5.7,-5.0,3.4,0.799999999999997,8.2,0.0,10.2,-7.1,3.2,-4.09999999999999,7.5,-4.9,1.0,6.3,1,Indiana,52
36,37,2013,2,15,Florida Gulf Coast,81,-10,3,3,-2.59999999999999,6.8,-0.18,3.1,2.2,2.9,3.9,0.699999999999999,4.9,-0.0999999999999943,3.8,4.0,3.6,0.699999999999996,-0.5,2.3,-4.4,7,San Diego State,81
37,38,2013,2,5,VCU,53,25,2,3,7.7,1.60000000000001,0.0327000000000001,3.3,-1.9,-2.3,-9.8,-4.1,-5.3,-1.4,-17.6,2.9,-2.5,2.8,-0.299999999999997,-3.3,3.6,4,Michigan,53
