TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
Drake,MVC,27,25,111.8,101.6,0.7508,54.5,48.4,15.2,18.8,31.6,24.9,25.2,29.7,54.4,49.7,36.6,30.8,66.7,1.5,R64,11,2021
Georgetown,BE,25,13,108.5,93.2,0.8516,49.6,48,21.7,16.2,32.4,27.3,30.3,25.9,46.1,47.4,36.6,32.6,69.5,-1,R64,12,2021
Oregon State,P12,28,17,108.5,99.6,0.7289,48.7,50.4,17.2,18.5,29.8,29.4,34,38.2,46.9,52.5,34.6,31.4,65.1,-1.6,E8,12,2021
UC Santa Barbara,BW,24,22,107.9,97.6,0.7615,53,47.7,16.5,20.8,28.2,24.5,35.5,28,53.4,46.6,34.8,33.4,65.8,-0.2,R64,12,2021
Winthrop,BSth,24,23,104.2,96.9,0.6975,53,49,19.5,22.5,35.6,22.2,35.7,33.8,53,49.2,35.3,32.4,73.8,0.9,R64,12,2021
Ohio,MAC,22,16,111.9,100.7,0.7715,55.8,51.1,17,20,28.7,27.4,29.6,30.2,56.4,51.6,36.6,33.7,69.3,-2,R32,13,2021
North Texas,CUSA,25,17,104.4,94.6,0.7578,54,45.7,20.4,21.4,27.9,26.9,27.2,31.7,52.9,44.8,37.3,31.6,63.3,-2.5,R32,13,2021
UNC Greensboro,SC,29,21,102.3,97.5,0.6353,48.2,48.1,15.6,21,32.4,25.9,23.8,36.4,50.3,48.3,30,31.9,68.3,-3.5,R64,13,2021
Liberty,ASun,24,23,109.1,101.5,0.6969,57.4,48,15.6,17.3,23.1,22.4,25.5,29.6,56.8,47.8,38.8,32.2,63.4,-1.7,R64,13,2021
Colgate,Pat,15,14,110.8,100,0.7641,57.1,45.7,13.8,16.6,27.9,25.6,31.1,25.1,55.4,49.5,40.2,26.1,71.9,0.3,R64,14,2021
Eastern Washington,BSky,22,16,107.7,101.1,0.6729,54.1,47.5,16.5,16.5,23.9,25.8,30.4,27.7,54.2,47.6,35.9,31.6,72.2,-3.6,R64,14,2021
Abilene Christian,Slnd,23,23,101.8,94.7,0.6977,52.9,45.4,19.4,26.7,30.6,27.9,34,42.5,50.8,46.3,37.7,29.1,70,-1.1,R32,14,2021
Morehead State,OVC,28,23,99.3,96.7,0.5778,51.9,47,22.9,18,31.3,24.9,36.8,23.1,51.8,47.6,34.7,30.7,65.6,-2,R64,14,2021
Iona,MAAC,17,12,101.1,99.5,0.545,51.2,45.6,22.4,19.6,33.4,26.1,36.1,46.3,49.9,45.8,35.5,30.1,68.5,-3.2,R64,15,2021
Oral Roberts,Sum,23,16,107,107.1,0.4981,53.6,50.4,15.7,18.2,23.2,33,27.8,33.1,49.7,49,38.8,35.6,71.4,-5.1,S16,15,2021
Grand Canyon,WAC,20,17,102.7,96,0.6852,53,44.9,20.4,16.6,32.4,22.6,34.7,29.6,55.7,44.9,32.2,29.9,65.4,-3.2,R64,15,2021
Cleveland State,Horz,26,19,99.9,100.7,0.4785,50.6,48.9,18.5,20.2,30.9,31.8,31.9,37.2,52.1,50.9,31.9,30.8,66.2,-2.7,R64,15,2021
Drexel,CAA,19,12,107.9,105,0.5768,54.3,49.6,19.6,16.4,29.4,24.3,28.5,27.2,53.5,50.4,37.2,32.1,64.4,-4.5,R64,16,2021
Mount State Mary's,NEC,22,12,95.7,100.6,0.3593,48.7,45.5,20.1,16.3,31.7,24.6,29.7,24.6,47.7,45.6,33.7,30.1,62.2,-7.2,R68,16,2021
Hartford,AE,23,15,97.3,99.6,0.4345,50.4,47.6,19,20.4,24.8,28.6,28.6,25,51.3,50.7,32.7,28.7,66.9,-4.9,R64,16,2021
Norfolk State,MEAC,21,16,99.4,104.1,0.3698,49.7,47.4,17.8,20.7,28.8,28.7,38.6,42,46.1,47.2,37.4,31.7,67.9,-5,R64,16,2021
Texas Southern,SWAC,23,16,97.3,103.5,0.3307,48.3,46.5,21.4,19.2,32.9,25.7,38.9,33.8,51,45.2,27.7,32.4,71.8,-4.5,R64,16,2021
Appalachian State,SB,24,17,99,104.4,0.3512,47.7,50.4,17.5,20,27.8,30.6,33,24,46.7,50.4,32.6,33.5,65.4,-7.7,R68,16,2021
