"","YEAR","ROUND","LSEED","LTEAM","HSEED","HTEAM","confH","confL","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB"
"1",2021,4,2,"Iowa",1,"Gonzaga","WCC","B10",-3,5,1.90000000000001,-5.90000000000001,0.0299999999999999,6.4,-0.799999999999997,2.8,4,-0.300000000000001,-5.2,4.7,3.3,11.6,1,-2.1,-2.3,4.59999999999999,2.9
"2",2021,4,2,"Alabama",1,"Michigan","B10","SEC",-6,-4,7.09999999999999,3,0.0177999999999999,3.6,-0.399999999999999,-2.3,-6,-2.1,-5,0.299999999999997,-7.4,3.2,-4.1,3.6,4.7,-7,0.4
"3",2021,4,3,"Arkansas",1,"Baylor","B12","SEC",-4,0,12.8,3.3,0.0550999999999999,6,1.5,0.200000000000003,4.3,5.8,4.7,-5.7,2.4,2.2,1.2,7.9,1.4,-4.3,2
"4",2021,4,2,"Houston",1,"Illinois","B10","Amer",3,-1,-2.89999999999999,-0.5,-0.00870000000000004,4.3,3.7,1.9,-5.5,-6.4,-5.8,8.5,-11.9,5.4,2.4,2.1,4.2,5.7,4.9
