YEAR,ROUND,LSEED,LTEAM,HSEED,HTEAM
2021,3,5,Creighton,1,Gonzaga
2021,3,3,Kansas,2,Iowa
2021,3,4,Florida State,1,Michigan
2021,3,11,UCLA,2,Alabama
2021,3,5,Villanova,1,Baylor
2021,3,6,Florida,3,Arkansas
2021,3,4,Oklahoma State,1,Illinois
2021,3,3,West Virginia,2,Houston
