"","YEAR","ROUND","LSEED","LTEAM","HSEED","HTEAM","confH","confL","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB"
"1",2021,2,5,"Creighton",1,"Gonzaga","WCC","BE",-2,6,11,-4.5,0.0766,5.3,0.600000000000001,0.300000000000001,2.5,5.6,-4.8,9.8,0.199999999999999,7.7,0.699999999999996,-0.200000000000003,0.399999999999999,5.5,5
"2",2021,2,3,"Kansas",2,"Iowa","B10","B12",2,1,15,5.7,0.0527000000000001,4.8,1.3,-4.4,-3.7,-0.199999999999999,1.7,1.5,-3.9,3.1,-0.100000000000001,4.8,2.2,1.8,1.4
"3",2021,2,4,"Florida State",1,"Michigan","B10","ACC",2,4,0.299999999999997,-2.90000000000001,0.0216,0.5,-1.6,-3.8,-4.5,-6,-6.6,-3.8,-11.8,1.2,-1.90000000000001,-0.299999999999997,0.200000000000003,-3.5,4.7
"4",2021,2,11,"UCLA",2,"Alabama","SEC","P12",4,7,-1.3,-9.40000000000001,0.0993,-0.700000000000003,-5.40000000000001,2,3.5,1.1,5.4,-4,3.9,-0.5,-3,-1.6,-6.3,9.2,5.8
"5",2021,2,5,"Villanova",1,"Baylor","B12","BE",2,6,5.3,-2.2,0.0472,4.7,-2.7,4.1,5.6,9.6,6.1,-3,5.9,1.3,-2.9,6.59999999999999,-1.4,3.7,3.4
"6",2021,2,6,"Florida",3,"Arkansas","SEC","SEC",5,8,-0.199999999999989,-2.2,0.0249,-1,0.100000000000001,-3.3,-0.199999999999999,1,-5.3,-1.09999999999999,-5.5,0,-1.5,-1.8,2,4.5,3.2
"7",2021,2,4,"Oklahoma State",1,"Illinois","B10","B12",1,3,8.40000000000001,-1.89999999999999,0.0789,3.5,-0.600000000000001,-3.2,-3.2,1.1,-8,2.8,0,2.5,-1.5,3.8,1,-0.899999999999991,4.3
"8",2021,2,3,"West Virginia",2,"Houston","Amer","B12",-1,6,4.69999999999999,-4.39999999999999,0.058,2.59999999999999,-7.3,-0.699999999999999,0.900000000000002,3.8,-3.3,-8.7,13.9,3.5,-8.3,-0.200000000000003,-3.8,-4.59999999999999,1
