YEAR,ROUND,LSEED,LTEAM,HSEED,HTEAM
2021,4,2,Iowa,1,Gonzaga
2021,4,2,Alabama,1,Michigan
2021,4,3,Arkansas,1,Baylor
2021,4,2,Houston,1,Illinois
