"","YEAR","ROUND","LSEED","LTEAM","HSEED","HTEAM","confH","confL","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB"
"1",2021,5,1,"Michigan",1,"Gonzaga","WCC","B10",2,6,7.30000000000001,-1.3,0.027,6.1,2.6,-0.199999999999999,5.2,1,-1.4,7.8,1.4,10.7,4.5,-2.2,-1,7.69999999999999,1.3
"2",2021,5,1,"Illinois",1,"Baylor","B12","B10",-5,-1,5.5,4.09999999999999,0.000900000000000012,1.9,2.5,-0.599999999999998,8.5,4.5,8.7,-12.2,1.2,-1.2,2.7,4.2,1.3,-1.90000000000001,-2.3
"3",2021,6,1,"Gonzaga",1,"Illinois","B10","WCC",3,-3,-7.7,0.600000000000009,-0.0252,-5.4,-0.899999999999999,2.1,-4.2,2.6,-1.2,2.5,4.6,-8.7,-1.4,1.1,0.200000000000003,-3.89999999999999,0.4
"4",2021,6,1,"Illinois",1,"Gonzaga","WCC","B10",-3,3,7.7,-0.600000000000009,0.0252,5.4,0.899999999999999,-2.1,4.2,-2.6,1.2,-2.5,-4.6,8.7,1.4,-1.1,-0.200000000000003,3.89999999999999,-0.4
